LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,2011,2012,2013,2014,2015,2016,LEVEL
UNDEFINED,INSPECTION,TRAN TO GEN FLEET,,,,,,,,0,,,0,3
UNDEFINED,INSPECTION,TRANFERS TO FUND BALANCE,,,,,,,,0,,,0,3
UNDEFINED,INSPECTION  Total,,,,,,,,,0,,,0,2
UNDEFINED,DEDICATED HOUSING FUND,CONTRA HOUSING LOANS EXP,,,,,,,,0,,,-420000,3
UNDEFINED,DEDICATED HOUSING FUND,SPECIAL CONTRACTUAL SERVICES,,,,,,0,0,23471,16,0,0,3
UNDEFINED,DEDICATED HOUSING FUND,WAKE COUNTY PROP TAX COLL FEE,,,,,,,,0,,0,9,3
UNDEFINED,DEDICATED HOUSING FUND,WAKE CO V TAX COLL COST,,,,,,,,0,,,0,3
UNDEFINED,DEDICATED HOUSING FUND,PRIOR PERIOD ADJ,,,,,,,,0,,,740701,3
UNDEFINED,DEDICATED HOUSING FUND  Total,,,,,,,0,0,23471,25900,27832,349250,2
UNDEFINED,OTHER SPECIAL REVENUE FUNDS,EXCESS FUNDS FOR RESERVE,,,,,,0,0,75568,0,0,0,3
UNDEFINED,OTHER SPECIAL REVENUE FUNDS  Total,,,,,,,0,0,75568,0,0,0,2
UNDEFINED,TRANSIT INVESTMENT FUND,TRANSFER TO THE GENERAL FUND,,,,,,114555,0,0,0,0,0,3
UNDEFINED,TRANSIT INVESTMENT FUND,TRANSFER TO TRANSIT OPERATIONS,,,,,,0,0,0,0,0,0,3
UNDEFINED,TRANSIT INVESTMENT FUND,TRANSFER TO-BALLPARK FUND,,,,,,114555,0,0,0,0,0,3
UNDEFINED,TRANSIT INVESTMENT FUND  Total,,,,,,,229110,0,0,0,0,0,2
UNDEFINED,GENERAL CAPITAL PROJECTS FUND,TRANSFER TO THE GENERAL FUND,,,,,,21416,0,0,0,0,0,3
UNDEFINED,GENERAL CAPITAL PROJECTS FUND  Total,,,,,,,21416,0,0,0,0,0,2
UNDEFINED,GENERAL CIP FUND BALANCE,TRANSFER TO DOWNTOWN REV,,,,,,,,0,,,0,3
UNDEFINED,GENERAL CIP FUND BALANCE,TRANSFER TO-CAPITAL PROJECTS F,,,,,,,,0,,0,0,3
UNDEFINED,GENERAL CIP FUND BALANCE,TRANSFER TO-GEN PROJECTS FUND,,,,,,,,0,,0,0,3
UNDEFINED,GENERAL CIP FUND BALANCE,TRANSFER TO CAPITAL PROJECTS,,,,,,,,0,,0,0,3
UNDEFINED,GENERAL CIP FUND BALANCE,TRANSFER TO MSC. THOROFARE,,,,,,,,0,,0,0,3
UNDEFINED,GENERAL CIP FUND BALANCE,TRANSFER TO CAPITAL PROJECTS,,,,,,,,0,,0,0,3
UNDEFINED,C.M. HERNDON PARK FUND,FURNITURE & EQUIPMENT,,,,,,0,0,0,0,-53,0,3
UNDEFINED,C.M. HERNDON PARK FUND  Total,,,,,,,0,0,0,0,-53,0,2
UNDEFINED,USA BASEBALL,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,USA BASEBALL  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,PARKS & RECREATION SUBDIVISION,CIP CONVERSION CLEANUP MAINFRA,,,,,,0,0,0,-7517,0,0,3
UNDEFINED,PARKS & RECREATION SUBDIVISION  Total,,,,,,,0,0,0,-7517,0,0,2
UNDEFINED,DOWNTOWN REVITALIZATION PROJEC,OTHER OPERATING COSTS,,,,,,0,0,0,0,-56355,0,3
UNDEFINED,DOWNTOWN REVITALIZATION PROJEC  Total,,,,,,,0,0,0,0,-56355,0,2
UNDEFINED,DOWNTOWN CIP FUND BALANCE,EXCESS FUNDS FOR RESERVE,,,,,,,,0,,0,0,3
UNDEFINED,DOWNTOWN CIP FUND BALANCE  Total,,,,,,,,,0,,0,0,2
UNDEFINED,PROPERTY & FACILITY MANAGEMENT,TRANSFER TO THE GENERAL FUND,,,,,,272535,0,0,0,0,0,3
UNDEFINED,PROPERTY & FACILITY MANAGEMENT,EXCESS FUNDS FOR RESERVE,,,,,,,,0,,735121,0,3
UNDEFINED,PROPERTY & FACILITY MANAGEMENT,TRANSFER TO-CAPITAL PROJECTS F,,,,,,,,0,,0,0,3
UNDEFINED,PROPERTY & FACILITY MANAGEMENT  Total,,,,,,,272535,0,0,0,735122,0,2
UNDEFINED,PARKING FACILITIES,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,PARKING FACILITIES  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,DOWNTOWN PROJECTS,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,DOWNTOWN PROJECTS  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,GENERAL PROJECTS FUND,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,GENERAL PROJECTS FUND,TRANSFER TO STREET PAVEMENT,,,,,,,,0,,0,0,3
UNDEFINED,GENERAL PROJECTS FUND  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,GENERAL PROJECTS,PART-TIME PERSONNEL,,,,,,0,0,0,0,-24839,0,3
UNDEFINED,GENERAL PROJECTS,FICA EXPENSE,,,,,,29,0,0,0,-1510,0,3
UNDEFINED,GENERAL PROJECTS,MEDICARE EXPENSE,,,,,,7,0,0,0,-353,0,3
UNDEFINED,GENERAL PROJECTS,DENTAL INSURANCE PREMIUM,,,,,,0,0,0,0,-271,0,3
UNDEFINED,GENERAL PROJECTS,BC/BS HEALTH INS - CITY,,,,,,0,0,0,0,-4091,0,3
UNDEFINED,GENERAL PROJECTS,RETIREMENT CONTRIBUTIONS-LGERS,,,,,,0,0,0,0,-601,0,3
UNDEFINED,GENERAL PROJECTS,NON-LAW ENFORCEMENT 401-K,,,,,,0,0,0,0,-626,0,3
UNDEFINED,GENERAL PROJECTS,PROFESSIONAL SERVICES,,,,,,0,0,0,0,-45463,0,3
UNDEFINED,GENERAL PROJECTS,NON-FIXED ASSET EQUIPMENT,,,,,,0,0,-560,0,419073,0,3
UNDEFINED,GENERAL PROJECTS,NON-FIXED ASSET IMPROVEMENTS,,,,,,475,450,0,82271,-127809,0,3
UNDEFINED,GENERAL PROJECTS,CONSTRUCTION IN PROGRESS,,,,,,179485,0,12582,0,-3897104,94671,3
UNDEFINED,GENERAL PROJECTS,FURNITURE & EQUIPMENT,,,,,,0,107500,136797,0,-1944762,0,3
UNDEFINED,GENERAL PROJECTS,TRANSFER TO-GEN PROJECTS FUND,,,,,,2,0,0,0,0,0,3
UNDEFINED,GENERAL PROJECTS,TRANSFER TO WATER & SEWER CONS,,,,,,,,0,,0,0,3
UNDEFINED,GENERAL PROJECTS  Total,,,,,,,179998,107950,148819,82271,-4920066,195186,2
UNDEFINED,2005 AB COPS,PART-TIME PERSONNEL,,,,,,,,0,,24839,0,3
UNDEFINED,2005 AB COPS,FICA EXPENSE,,,,,,,,0,,1480,0,3
UNDEFINED,2005 AB COPS,MEDICARE EXPENSE,,,,,,,,0,,346,0,3
UNDEFINED,2005 AB COPS,DENTAL INSURANCE PREMIUM,,,,,,,,0,,271,0,3
UNDEFINED,2005 AB COPS,BC/BS HEALTH INS - CITY,,,,,,,,0,,4091,0,3
UNDEFINED,2005 AB COPS,RETIREMENT CONTRIBUTIONS-LGERS,,,,,,,,0,,601,0,3
UNDEFINED,2005 AB COPS,NON-LAW ENFORCEMENT 401-K,,,,,,,,0,,626,0,3
UNDEFINED,2005 AB COPS,PROFESSIONAL SERVICES,,,,,,,,0,,45463,0,3
UNDEFINED,2005 AB COPS,NON-FIXED ASSET EQUIPMENT,,,,,,,,0,,351734,0,3
UNDEFINED,2005 AB COPS,NON-FIXED ASSET COMPUTER SOFTW,,,,,,,,0,,857,0,3
UNDEFINED,2005 AB COPS,NON-FIXED ASSET IMPROVEMENTS,,,,,,,,0,,85780,0,3
UNDEFINED,2005 AB COPS,OTHER OPERATING COSTS,,,,,,,,0,,51926,0,3
UNDEFINED,2005 AB COPS,CONSTRUCTION IN PROGRESS,,,,,,,,0,,2636163,0,3
UNDEFINED,2005 AB COPS,FURNITURE & EQUIPMENT,,,,,,,,0,,1595822,0,3
UNDEFINED,2005 AB COPS  Total,,,,,,,,,0,,4800000,0,2
UNDEFINED,2012 BC 2005 BONDS,NON-FIXED ASSET IMPROVEMENTS,,,,,,,,0,,5978,14272,3
UNDEFINED,2012 BC 2005 BONDS,CONSTRUCTION IN PROGRESS,,,,,,,,0,,38970,587,3
UNDEFINED,2012 BC 2005 BONDS  Total,,,,,,,,,0,,44948,14858,2
UNDEFINED,2009 LOBS,FICA EXPENSE,,,,,,,,0,,29,0,3
UNDEFINED,2009 LOBS,MEDICARE EXPENSE,,,,,,,,0,,7,0,3
UNDEFINED,2009 LOBS,NON-FIXED ASSET IMPROVEMENTS,,,,,,,,0,,0,0,3
UNDEFINED,2009 LOBS,CONSTRUCTION IN PROGRESS,,,,,,,,0,,1413177,0,3
UNDEFINED,2009 LOBS  Total,,,,,,,,,0,,1413213,0,2
UNDEFINED,GEN PROJECTS-CITY MGR,NON-FIXED ASSET IMPROVEMENTS,,,,,,0,0,0,0,0,0,3
UNDEFINED,GEN PROJECTS-CITY MGR  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,MUNICIPAL BLG CIP FUND BALANCE,EXCESS FUNDS FOR RESERVE,,,,,,,,0,,0,0,3
UNDEFINED,MUNICIPAL BLG CIP FUND BALANCE,TRANSFER TO CAPITAL PROJECTS,,,,,,,,0,,0,0,3
UNDEFINED,MUNICIPAL BLG CIP FUND BALANCE,TRANSFER TO CAPITAL PROJECTS,,,,,,,,0,,0,0,3
UNDEFINED,MUNICIPAL BLG CIP FUND BALANCE,TRANSFER TO-CAPITAL PROJECTS F,,,,,,,,0,,0,0,3
UNDEFINED,AFFORDABLE HOUSING FUND,CONTRA HOUSING LOANS EXP,,,,,,,,0,,,-95542,3
UNDEFINED,AFFORDABLE HOUSING FUND,PRIOR PERIOD ADJ,,,,,,,,0,,,6274509,3
UNDEFINED,AFFORDABLE HOUSING FUND  Total,,,,,,,,,0,,,6178967,2
UNDEFINED,AFFORDABLE HOUSING NOTES RECEI,CONTRA HOUSING LOANS EXP,,,,,,,,0,,,0,3
UNDEFINED,FIRE DEPARTMENT IMPROVEMENTS F,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,FIRE DEPARTMENT IMPROVEMENTS F  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,PUBLIC SAFETY IMPROVEMENTS FUN,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,PUBLIC SAFETY IMPROVEMENTS FUN,CIP CONVERSION CLEANUP MAINFRA,,,,,,0,0,0,-452,0,0,3
UNDEFINED,PUBLIC SAFETY IMPROVEMENTS FUN  Total,,,,,,,0,0,0,-452,0,0,2
UNDEFINED,TRANSPORTATION CAPITAL PROJECT,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,TRANSPORTATION CAPITAL PROJECT  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,TRAFFIC CALMING PROJECTS FUND,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,TRAFFIC CALMING PROJECTS FUND  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,STREET PAVING FUND,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,STREET PAVING FUND,CIP CONVERSION CLEANUP MAINFRA,,,,,,0,0,0,-79186,0,0,3
UNDEFINED,STREET PAVING FUND  Total,,,,,,,0,0,0,-79186,0,0,2
UNDEFINED,STREET RESURFACING PROJECTS FU,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,STREET RESURFACING PROJECTS FU  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,MISC THOROUGHFARE PROJECTS FUN,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,MISC THOROUGHFARE PROJECTS FUN,CIP CONVERSION CLEANUP MAINFRA,,,,,,0,0,0,-745753,0,0,3
UNDEFINED,MISC THOROUGHFARE PROJECTS FUN  Total,,,,,,,0,0,0,-745753,0,0,2
UNDEFINED,SIDEWALK CONSTRUCTION FUND,CIP CONVERSION CLEANUP MAINFRA,,,,,,0,0,0,-139639,0,0,3
UNDEFINED,SIDEWALK CONSTRUCTION FUND  Total,,,,,,,0,0,0,-139639,0,0,2
UNDEFINED,TRANSPORTATION CAP PROJECTS,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,TRANSPORTATION CAP PROJECTS,CIP CONVERSION CLEANUP MAINFRA,,,,,,0,0,0,-427021,0,0,3
UNDEFINED,TRANSPORTATION CAP PROJECTS  Total,,,,,,,0,0,0,-427021,0,0,2
UNDEFINED,TRANSPORTATION GRANT CIP,LAND - EASEMENTS,,,,,,,,0,,,,3
UNDEFINED,TRANSPORTATION GRANT CIP,CONSTRUCTION IN PROGRESS,,,,,,,,0,,0,0,3
UNDEFINED,TRANSPORTATION GRANT CIP,CIP PROFESSIONAL SERVICES-LIP,,,,,,,,0,,0,0,3
UNDEFINED,TRANSPORTATION GRANT CIP,APPROPRIATIONS NOT AUTHORIZED,,,,,,,,0,,0,0,3
UNDEFINED,STREET CIP FUND BALANCE,EXCESS FUNDS FOR RESERVE,,,,,,,,0,,0,0,3
UNDEFINED,OPEN SPACE-SOUTHWEST-ZONE 1,TRANSFERS TO PUBLIC IMPROVEMEN,,,,,,0,141938,0,0,0,0,3
UNDEFINED,OPEN SPACE-SOUTHWEST-ZONE 1  Total,,,,,,,0,141938,0,0,0,0,2
UNDEFINED,WATER & SEWER CONSTRUCTION FUN,TRANSFER TO THE GENERAL FUND,,,,,,0,0,0,0,0,0,3
UNDEFINED,WATER & SEWER CONSTRUCTION FUN,TRANSFER TO-GEN PROJECTS FUND,,,,,,,,0,,0,0,3
UNDEFINED,WATER & SEWER CONSTRUCTION FUN  Total,,,,,,,0,0,0,0,0,0,2
UNDEFINED,STORM WATER FLEET,TRANSFER TO STORMWATER OPERATI,,,,,,,,0,,,0,3
UNDEFINED,STORM WATER FLEET  Total,,,,,,,,,0,,,0,2
UNDEFINED,SOLIDWASTE PROJECTS,NON-FIXED ASSET EQUIPMENT,,,,,,0,0,3935111,0,0,0,3
UNDEFINED,SOLIDWASTE PROJECTS,CIP PROF SERVICES,,,,,,0,0,19590,-19590,0,0,3
UNDEFINED,SOLIDWASTE PROJECTS  Total,,,,,,,0,0,3954701,380410,0,0,2
UNDEFINED,DURHAM PERFORMING ARTS CENTER,NON-FIXED ASSET EQUIPMENT,,,,,,,,0,,,0,3
UNDEFINED,DURHAM PERFORMING ARTS CENTER  Total,,,,,,,,,0,,,0,2
UNDEFINED,WATER & SEWER OPERATING FUND,TRANSFER TO WATER & SEWER CONS,,,,,,0,1664556,0,0,0,0,3
UNDEFINED,WATER & SEWER OPERATING FUND,TRAN WS FLEET,,,,,,0,459500,295682,556000,607000,650869,3
UNDEFINED,WATER & SEWER OPERATING FUND,TRANSFER TO TRIANGLE CAP FEE,,,,,,0,0,288585,0,0,0,3
UNDEFINED,WATER & SEWER OPERATING FUND,TRANSFER TO STORMWATER OPERATI,,,,,,0,123000,123000,123000,123000,0,3
UNDEFINED,WATER & SEWER OPERATING FUND  Total,,,,,,,0,2247056,707267,679000,873899,650869,2
UNDEFINED,GOLF COURSE GASB,DEPRECIATION EXPENSE BUILDINGS,,,,,,0,71266,122170,122170,122170,122170,3
UNDEFINED,GOLF COURSE GASB,DEPRECIATION EXPENSE CAP INTST,,,,,,,,0,,,0,3
UNDEFINED,GOLF COURSE GASB  Total,,,,,,,0,71266,122170,122170,122170,122170,2
UNDEFINED,NONBUDGETARY EXPENSES,FURNITURE & EQUIPMENT,,,,,,-72459,-4120400,-1097035,0,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,GENERAL OBLIGATION BONDS,,,,,,0,-115963,-115963,-115963,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,LIMITED OBLIGATION BONDS,,,,,,,,0,,-115963,-115963,3
UNDEFINED,NONBUDGETARY EXPENSES,INTEREST PAYMENTS,,,,,,,,0,,-2207,0,3
UNDEFINED,NONBUDGETARY EXPENSES,INTEREST GO BONDS,,,,,,0,0,0,0,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,INTEREST-LIMITED OBLIGATION BO,,,,,,27232,-1010,-1584,-1153,-1153,-1153,3
UNDEFINED,NONBUDGETARY EXPENSES,PRE FY13 COI W/O GASB 63/65,,,,,,0,0,976,0,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,TRANSFER TO GOVERNMENTAL,,,,,,0,-113,0,0,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,DEPRECIATION EXPENSE INFRASTRU,,,,,,9027,4173,1068,3433,3651,6560,3
UNDEFINED,NONBUDGETARY EXPENSES,DEPRECIATION EXPENSE BUILDINGS,,,,,,231270,256380,263175,264900,265350,281423,3
UNDEFINED,NONBUDGETARY EXPENSES,DEPRECIATION EXPENSE EQUIPMENT,,,,,,347072,282589,268591,230604,229957,219074,3
UNDEFINED,NONBUDGETARY EXPENSES,DEPRECIATION EXPENSE EQUIPMENT,,,,,,1973850,2075246,2174258,2232109,2156300,1520479,3
UNDEFINED,NONBUDGETARY EXPENSES,DEPRECIATION EXPENSE CAP INTST,,,,,,,,0,,,110,3
UNDEFINED,NONBUDGETARY EXPENSES  Total,,,,,,,2515992,-1619099,1493486,2121344,2338326,1309972,2
UNDEFINED,DISPOSAL SERVICES FUND,1% COLL FEE- PROP TAX - DUR CO,,,,,,,,0,,0,137052,3
UNDEFINED,DISPOSAL SERVICES FUND,NC VTS COST - DURHAM CO,,,,,,,,0,,0,29718,3
UNDEFINED,DISPOSAL SERVICES FUND,WAKE COUNTY PROP TAX COLL FEE,,,,,,,,0,,0,53,3
UNDEFINED,DISPOSAL SERVICES FUND,WAKE CO V TAX COLL COST,,,,,,,,0,,,2,3
UNDEFINED,DISPOSAL SERVICES FUND,TRANSFER TO SOLID WASTE CAPITA,,,,,,,,,,,,3
UNDEFINED,NONBUDGETARY EXPENSES,RETIREMENT,,,,,,,,0,,-313682,-126416,3
UNDEFINED,NONBUDGETARY EXPENSES,PENSION EXPENSE,,,,,,,,0,,22544,0,3
UNDEFINED,NONBUDGETARY EXPENSES,OPEB YEAR END ACCRUAL,,,,,,503815,295187,261868,362836,474236,324775,3
UNDEFINED,NONBUDGETARY EXPENSES,FURNITURE & EQUIPMENT,,,,,,0,-979916,-130500,0,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,GENERAL OBLIGATION BONDS,,,,,,-1744977,-1760318,-2208099,-2203056,-2159671,-1849387,3
UNDEFINED,NONBUDGETARY EXPENSES,"2015 GO REFUND 2005D,06B,08,AB",,,,,,,,0,,-2023615,0,3
UNDEFINED,NONBUDGETARY EXPENSES,2015 GO ESCROW,,,,,,,,0,,-162308,0,3
UNDEFINED,NONBUDGETARY EXPENSES,LIMITED OBLIGATION BONDS,,,,,,,,0,,-972155,-992155,3
UNDEFINED,NONBUDGETARY EXPENSES,PRINCIPAL PMT BANK LOAN,,,,,,,,0,,-205248,-548587,3
UNDEFINED,NONBUDGETARY EXPENSES,INTEREST GO BONDS,,,,,,15674,-47540,-18317,-41144,62071,-29247,3
UNDEFINED,NONBUDGETARY EXPENSES,INTEREST-LIMITED OBLIGATION BO,,,,,,0,488,-30,46723,-3901,-5219,3
UNDEFINED,NONBUDGETARY EXPENSES,2015 GO ADV REFUND INT EXP,,,,,,,,0,,-31235,-31235,3
UNDEFINED,NONBUDGETARY EXPENSES,INTEREST BANK LOAN PRIVATE PLC,,,,,,0,4052,-738,-808,-822,3092,3
UNDEFINED,NONBUDGETARY EXPENSES,PRE FY13 COI W/O GASB 63/65,,,,,,0,0,45741,0,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,TRANSFER TO STORM WATER,,,,,,0,0,0,0,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,TRANSFER TO 6201,,,,,,15623,0,0,0,0,0,3
UNDEFINED,NONBUDGETARY EXPENSES,POST CLOSURE COST ADUSTMENTS,,,,,,-278738,-220757,-249580,-276553,-291205,2070396,3
